No.,Food_ID,Nama Bahan Makanan,Fast_Food,Sumber,Tipe,Jenis_Olahan,Air (g),Energi (Kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (Ca) (mg),Fosfor (P) (mg),Besi (Fe) (mg),Natrium (Na) (mg),Kalium (Ka) (mg),Tembaga (Cu) (mg),Seng (Zn) (mg),Retinol (vit. A) (mcg),β-karoten (mcg),Karoten total (mcg),Thiamin (vit. B1) (mg),Riboflavin (vit. B2) (mg),Niasin (mg),Vitamin C (mg),BDD (%),Mentah / Olahan,Kelompok Makanan,Sumber TKPI 2019,Fast_Food_New,Tipe_New,Jenis_Olahan_New,Mentah / Olahan_New,Kelompok Makanan_New,Fast_Food_New_0,Fast_Food_New_1,Tipe_New_0,Tipe_New_1,Jenis_Olahan_New_0,Jenis_Olahan_New_1,Jenis_Olahan_New_2,Jenis_Olahan_New_3,Jenis_Olahan_New_4,Jenis_Olahan_New_5,Jenis_Olahan_New_6,Jenis_Olahan_New_7,Jenis_Olahan_New_8,Jenis_Olahan_New_9,Jenis_Olahan_New_10,Mentah / Olahan_New_0,Mentah / Olahan_New_1,Kelompok Makanan_New_0,Kelompok Makanan_New_1,Kelompok Makanan_New_2,Kelompok Makanan_New_3,Kelompok Makanan_New_4,Kelompok Makanan_New_5,Kelompok Makanan_New_6,Kelompok Makanan_New_7,Kelompok Makanan_New_8, Daging Ayam, Daging Kambing, Daging Kerbau, Daging Sapi, Ikan, Kedelai, Sayur, Telur,Beras,Biji-bijian,Buah,Daging Ayam,Daging Babi,Daging Kambing,Daging Sapi,Ikan,Kedelai,Sayur,Susu,Telur Ayam,Tepung,Umbi-umbian
11,FNT011,Sop saudara,Tidak,Daging Sapi,Makanan Berat,Rebus,82.4,89,7.2,5.0,3.9,0.0,1.5,10.0,174.0,9.0,274.0,50.0,0.2,1.1,0.0,0.0,0.0,0.09,0.12,2.0,0.0,100,Olahan,Daging,KZGMI02001,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,FNT012,Soto bandung,Tidak,Daging Sapi,Makanan Berat,Rebus,89.9,42,3.9,1.7,2.8,0.4,1.8,74.0,75.0,1.8,0.0,0.0,0.0,0.0,6.0,20.0,0.1,0.0,0.0,0.0,0.0,100,Olahan,Daging,KZGPI01990,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,FNT013,Soto banjar,Tidak,Daging Ayam,Makanan Berat,Rebus,83.7,110,2.9,9.5,3.2,0.0,0.7,28.0,28.0,0.3,36.0,6.0,0.0,0.2,12.0,0.0,770.0,0.05,0.0,0.0,0.0,100,Olahan,Daging,KZGMI02001,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14,FNT014,Soto betawi,Tidak,Daging Sapi,Makanan Berat,Rebus,75.9,135,2.5,8.8,11.5,0.5,1.3,222.0,72.0,1.9,0.0,0.0,0.0,0.0,6.0,0.0,336.0,0.04,0.0,0.0,0.0,100,Olahan,Daging,KZGPI01990,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,FNT015,Soto jeroan,Tidak,Daging Sapi,Makanan Berat,Rebus,81.4,92,11.8,4.3,1.4,0.0,1.1,218.0,48.0,1.9,363.0,0.0,0.0,0.0,85.0,0.0,440.0,0.36,0.0,0.0,0.0,100,Olahan,Daging,KZGMS01993,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,FNT016,Soto kudus,Tidak,"Daging Ayam, Daging Kerbau",Makanan Berat,Rebus,91.6,38,2.6,2.3,1.8,0.2,1.7,237.0,67.0,1.7,0.0,0.0,0.0,0.0,23.0,0.0,128.0,0.06,0.0,0.5,0.0,100,Olahan,Daging,KZGPI01990,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,FNT017,Soto madura,Tidak,Daging Sapi,Makanan Berat,Rebus,89.8,60,3.5,4.5,1.3,0.0,0.9,361.0,126.0,3.8,0.0,0.0,0.0,0.0,26.0,0.0,121.0,0.06,0.0,0.0,0.0,100,Olahan,Daging,KZGPI01990,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,FNT018,Soto padang,Tidak,Daging Sapi,Makanan Berat,Rebus,75.0,127,5.9,6.6,11.0,0.7,2.0,298.0,94.0,1.5,0.0,0.0,0.0,0.0,12.0,0.0,204.0,0.22,0.0,0.0,0.0,100,Olahan,Daging,KZGPI01990,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19,FNT019,Soto pekalongan,Tidak,"Daging Sapi, Daging Kerbau, Kedelai",Makanan Berat,Rebus,83.8,94,3.0,6.8,5.1,0.3,1.3,322.0,79.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,119.0,0.29,0.0,0.0,0.0,100,Olahan,Daging,KZGPI01990,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,FNT020,Soto pemalang,Tidak,Daging Sapi,Makanan Berat,Rebus,86.0,75,3.6,5.2,3.5,0.0,1.7,170.0,80.0,2.1,0.0,0.0,0.0,0.0,16.0,0.0,30.0,0.13,0.0,0.0,0.0,100,Olahan,Daging,KZGPI01990,0,0,9,0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
